0,14.76,14.76
1,0.00,14.76
2,32.79,32.79
3,207.03,207.03
4,0.00,207.03
5,107.27,207.03
6,261.71,261.71
7,0.00,261.71
8,0.00,261.71
9,50.27,261.71
10,136.65,261.71
11,0.00,261.71
12,0.00,261.71
13,4.92,261.71
14,4.98,261.71
15,0.00,261.71
16,6.94,261.71
17,176.11,261.71
18,56.59,261.71
19,0.00,261.71
20,53.62,261.71
21,49.76,261.71
22,44.18,261.71
23,0.00,261.71
24,46.70,261.71
25,116.56,261.71
26,282.90,282.90
27,31.79,282.90
28,0.00,282.90
29,35.42,282.90
30,227.86,282.90
31,4.88,282.90
32,0.95,282.90
33,0.00,282.90
34,124.30,282.90
35,0.00,282.90
36,269.74,282.90
37,75.04,282.90
38,5.71,282.90
39,0.63,282.90
40,0.00,282.90
41,53.44,282.90
42,0.00,282.90
43,42.21,282.90
44,228.69,282.90
45,247.25,282.90
46,266.51,282.90
47,214.64,282.90
48,1.10,282.90
49,33.45,282.90
50,239.79,282.90
51,0.00,282.90
52,204.13,282.90
53,0.91,282.90
54,206.69,282.90
55,45.47,282.90
56,0.99,282.90
57,50.78,282.90
58,9.28,282.90
59,19.65,282.90
60,44.17,282.90
61,42.77,282.90
62,57.84,282.90
63,45.23,282.90
64,301.45,301.45
65,0.00,301.45
66,210.15,301.45
67,0.00,301.45
68,42.65,301.45
69,0.00,301.45
70,32.63,301.45
71,236.86,301.45
72,32.36,301.45
73,0.00,301.45
74,0.00,301.45
75,8.56,301.45
76,6.97,301.45
77,4.51,301.45
78,34.60,301.45
79,172.25,301.45
80,37.41,301.45
81,588.63,588.63
82,262.89,588.63
83,210.52,588.63
84,46.27,588.63
85,91.94,588.63
86,304.49,588.63
87,9.16,588.63
88,0.00,588.63
89,324.74,588.63
90,0.00,588.63
91,201.92,588.63
92,79.98,588.63
93,46.84,588.63
94,221.25,588.63
95,233.43,588.63
96,53.40,588.63
97,38.56,588.63
98,65.00,588.63
99,0.00,588.63
100,69.68,588.63
101,354.45,588.63
102,1.35,588.63
103,273.06,588.63
104,100.71,588.63
105,254.15,588.63
106,216.10,588.63
107,0.00,588.63
108,219.78,588.63
109,4.91,588.63
110,274.42,588.63
111,207.80,588.63
112,372.46,588.63
113,42.39,588.63
114,57.49,588.63
115,0.00,588.63
116,39.67,588.63
117,70.08,588.63
118,4.49,588.63
119,49.17,588.63
120,42.79,588.63
121,203.80,588.63
122,219.43,588.63
123,37.77,588.63
124,213.77,588.63
125,235.40,588.63
126,0.00,588.63
127,34.03,588.63
128,0.00,588.63
129,250.75,588.63
130,51.25,588.63
131,0.00,588.63
132,0.00,588.63
133,0.00,588.63
134,243.81,588.63
135,77.87,588.63
136,119.12,588.63
137,193.58,588.63
138,228.78,588.63
139,0.00,588.63
140,4.59,588.63
141,258.13,588.63
142,220.39,588.63
143,107.79,588.63
144,75.19,588.63
145,48.20,588.63
146,51.73,588.63
147,36.51,588.63
148,202.67,588.63
149,0.00,588.63
150,0.00,588.63
151,212.23,588.63
152,52.89,588.63
153,122.19,588.63
154,97.22,588.63
155,162.74,588.63
156,127.23,588.63
157,0.00,588.63
158,0.00,588.63
159,59.88,588.63
160,598.00,598.00
161,0.00,598.00
162,49.76,598.00
163,212.20,598.00
164,101.10,598.00
165,90.79,598.00
166,4.57,598.00
167,22.81,598.00
168,0.00,598.00
169,32.40,598.00
170,219.01,598.00
171,4.71,598.00
172,0.72,598.00
173,44.38,598.00
174,0.00,598.00
175,0.00,598.00
176,67.64,598.00
177,157.44,598.00
178,249.63,598.00
179,242.31,598.00
180,5.42,598.00
181,20.54,598.00
182,0.00,598.00
183,51.10,598.00
184,93.51,598.00
185,55.52,598.00
186,0.00,598.00
187,0.00,598.00
188,8.42,598.00
189,148.15,598.00
190,227.67,598.00
191,0.00,598.00
192,219.35,598.00
193,207.58,598.00
194,5.24,598.00
195,40.74,598.00
196,67.36,598.00
197,0.00,598.00
198,0.00,598.00
199,66.70,598.00
200,0.00,598.00
